,number,value,datetime_start,datetime_complete,params_lr_C,params_xgb_colsample_bylevel,params_xgb_colsample_bynode,params_xgb_colsample_bytree,params_xgb_max_depth,params_xgb_scale_pos_weight,params_xgb_subsample,system_attrs__number,state
0,0,-0.8937365511028588,2020-03-13 13:37:03.864906,2020-03-13 13:39:26.082586,0.0862500688246168,0.7,0.8,0.7,8,0.6000000000000001,1.0,0,COMPLETE
1,1,-0.8934258496162517,2020-03-13 13:39:26.085134,2020-03-13 13:43:08.458005,0.09812224971332613,0.8,1.0,0.7,10,0.1,0.8,1,COMPLETE
2,2,-0.8937592691667683,2020-03-13 13:43:08.461102,2020-03-13 13:45:53.637767,0.10328529724664637,0.6,1.0,0.5,8,0.7000000000000001,0.9,2,COMPLETE
3,3,-0.892415928411545,2020-03-13 13:45:53.640422,2020-03-13 13:47:37.462851,0.07730722135195303,0.9,0.9,1.0,9,0.0,0.8,3,COMPLETE
4,4,-0.893529482342852,2020-03-13 13:47:37.465834,2020-03-13 13:50:04.342984,0.1490745148573832,0.8,0.5,0.9,7,0.30000000000000004,0.7,4,COMPLETE
5,5,-0.8934549602089668,2020-03-13 13:50:04.347389,2020-03-13 13:53:03.072268,0.08229958420971759,0.5,0.9,0.8,9,0.9,0.5,5,COMPLETE
6,6,-0.893479596031518,2020-03-13 13:53:03.075865,2020-03-13 13:55:42.401890,0.11073672367330503,0.8,0.9,0.8,9,0.2,0.9,6,COMPLETE
7,7,-0.8937342153711798,2020-03-13 13:55:42.406004,2020-03-13 13:58:01.574987,0.09134080666510946,0.9,0.9,0.7,7,0.7000000000000001,0.7,7,COMPLETE
8,8,-0.8936181418000575,2020-03-13 13:58:01.579543,2020-03-13 14:00:26.190983,0.08182061066781864,0.6,1.0,0.9,8,0.6000000000000001,0.7,8,COMPLETE
9,9,-0.8937095057886807,2020-03-13 14:00:26.194402,2020-03-13 14:02:37.609637,0.14612703605888616,0.6,0.9,0.7,9,0.5,0.9,9,COMPLETE
10,10,-0.893647572019213,2020-03-13 14:02:37.613433,2020-03-13 14:04:23.632557,0.12235963924619309,0.5,0.6,0.5,8,1.0,1.0,10,COMPLETE
11,11,-0.8937137346923522,2020-03-13 14:04:23.636686,2020-03-13 14:06:14.795484,0.10938951343545676,0.6,0.7,0.5,8,0.8,1.0,11,COMPLETE
12,12,-0.893589596700275,2020-03-13 14:06:14.799564,2020-03-13 14:08:06.881071,0.10003584643135686,0.7,0.7,0.6,7,0.5,1.0,12,COMPLETE
13,13,-0.893473646062399,2020-03-13 14:08:06.885423,2020-03-13 14:10:24.022713,0.12625054616760373,0.7,0.8,0.6,8,0.7000000000000001,0.9,13,COMPLETE
14,14,-0.893670240909824,2020-03-13 14:10:24.027760,2020-03-13 14:12:43.804850,0.08919024020530605,0.7,0.8,0.6,8,0.8,0.9,14,COMPLETE
15,15,-0.8936121918309381,2020-03-13 14:12:43.810078,2020-03-13 14:14:57.490953,0.10908169246462306,0.6,1.0,0.5,10,0.4,1.0,15,COMPLETE
16,16,-0.8932672903152206,2020-03-13 14:14:57.496448,2020-03-13 14:17:03.257730,0.1267680282899134,1.0,0.6,0.6,7,1.0,0.5,16,COMPLETE
17,17,-0.8936697000035404,2020-03-13 14:17:03.262334,2020-03-13 14:19:05.021788,0.07072546870898702,0.5,0.8,0.9,8,0.6000000000000001,0.8,17,COMPLETE
18,18,-0.8934809728838762,2020-03-13 14:19:05.026915,2020-03-13 14:21:00.694538,0.09799060741611144,0.7,0.6,0.5,9,0.4,0.9,18,COMPLETE
19,19,-0.8940093645629674,2020-03-13 14:21:00.699717,2020-03-13 14:23:08.371168,0.11775246099407055,0.6,0.7,0.8,8,0.7000000000000001,0.6,19,COMPLETE
20,20,-0.8935846547837751,2020-03-13 14:23:08.376662,2020-03-13 14:25:05.383972,0.13369743040304966,0.5,0.5,1.0,7,0.8,0.6,20,COMPLETE
21,21,-0.8938347501799744,2020-03-13 14:25:05.389909,2020-03-13 14:27:14.301788,0.11673422593686822,0.6,0.7,0.8,8,0.6000000000000001,0.6,21,COMPLETE
22,22,-0.8940920248777553,2020-03-13 14:27:14.308014,2020-03-13 14:29:23.047696,0.11607371040269915,0.6,0.7,0.8,8,0.7000000000000001,0.6,22,COMPLETE
23,23,-0.8938101881173708,2020-03-13 14:29:23.052933,2020-03-13 14:31:26.775617,0.11751288099737683,0.6,0.7,0.8,8,0.9,0.6,23,COMPLETE
24,24,-0.8931816550158732,2020-03-13 14:31:26.780312,2020-03-13 14:33:27.921952,0.13547150119388937,0.5,0.7,0.8,8,0.6000000000000001,0.6,24,COMPLETE
25,25,-0.8932888528066152,2020-03-13 14:33:27.926881,2020-03-13 14:35:35.978873,0.1166914260749905,0.6,0.6,0.9,9,0.4,0.6,25,COMPLETE
26,26,-0.8931740577412539,2020-03-13 14:35:35.985768,2020-03-13 14:37:36.788403,0.13324949139131562,0.6,0.7,0.8,7,0.9,0.5,26,COMPLETE
27,27,-0.8935787785746038,2020-03-13 14:37:36.794708,2020-03-13 14:39:36.067705,0.1161451637340025,0.5,0.6,0.9,8,0.7000000000000001,0.6,27,COMPLETE
28,28,-0.8933142999885919,2020-03-13 14:39:36.074284,2020-03-13 14:41:46.144070,0.12400438063390481,0.7,0.7,0.8,8,0.5,0.5,28,COMPLETE
29,29,-0.893739771953911,2020-03-13 14:41:46.149879,2020-03-13 14:43:51.614188,0.1437614315436534,0.6,0.8,0.7,8,0.8,0.7,29,COMPLETE
