mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_leaf_reg,param_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
111.23326031366985,1.4811839391869606,0.13406801223754883,0.002508162341643403,3,3,"{'l2_leaf_reg': 3, 'depth': 3}",0.8934315667591584,0.8921986662830971,0.8953496812876443,0.8936599714432999,0.0012964953823092224,1
78.91383544603984,6.58361881168357,0.12732458114624023,0.002188310716245921,4,2,"{'l2_leaf_reg': 4, 'depth': 2}",0.8929989870988378,0.8921085436871112,0.8952254722767194,0.8934443343542228,0.0013108678020274645,2
119.63626472155254,1.3449402745800836,0.13712430000305176,0.004432338821396605,1,4,"{'l2_leaf_reg': 1, 'depth': 4}",0.8925963946439764,0.89184402696039,0.8954092658458956,0.8932832291500873,0.001534392020045474,3
91.2627039750417,2.345840853740125,0.12887144088745117,0.0016642134753112982,4,3,"{'l2_leaf_reg': 4, 'depth': 3}",0.8925955819825817,0.8918982305415645,0.8952302683052826,0.8932413602764763,0.001434896307138602,4
175.3346792856852,3.2265872056394835,0.1382763385772705,0.005139545598880677,9,5,"{'l2_leaf_reg': 9, 'depth': 5}",0.8926341021326836,0.8925124294418899,0.8945652461073929,0.893237259227322,0.0009403414011769907,5
68.39146494865417,1.2992528175084448,0.12820029258728027,0.0019031470732390446,1,2,"{'l2_leaf_reg': 1, 'depth': 2}",0.8927156120705573,0.8918089205929726,0.8950213565526146,0.8931819630720481,0.0013522940117060307,6
122.67343060175578,3.7744460993439004,0.13262438774108887,0.0005128704880023205,3,4,"{'l2_leaf_reg': 3, 'depth': 4}",0.8934033674087674,0.8916489103211095,0.8944359159134261,0.8931627312144342,0.0011504432121051756,7
70.62891904513042,0.34866568209677357,0.13103135426839194,0.0012499809048875789,3,2,"{'l2_leaf_reg': 3, 'depth': 2}",0.8924284175337223,0.8917770648151309,0.8948888561024789,0.8930314461504439,0.0013400357926669582,8
138.07942867279053,1.1188142926973232,0.13205647468566895,0.002585113559104834,3,5,"{'l2_leaf_reg': 3, 'depth': 5}",0.8926059027822926,0.8916287566657404,0.8948354494793261,0.893023369642453,0.0013419956866981904,9
118.39782818158467,1.2513866237623668,0.13455605506896973,0.000912900868468481,1,3,"{'l2_leaf_reg': 1, 'depth': 3}",0.8932072722142617,0.8911626221205871,0.8946032078927997,0.8929910340758829,0.001412911135057722,10
146.43035666147867,0.16794957767171417,0.13725956281026205,0.0028018011571021165,4,5,"{'l2_leaf_reg': 4, 'depth': 5}",0.892666120991629,0.8919256167587396,0.8943418649804156,0.8929778675769281,0.0010107598848629613,11
145.66428399085999,0.5017038676006325,0.13783343633015951,0.0040859488070172055,5,5,"{'l2_leaf_reg': 5, 'depth': 5}",0.8934382305825936,0.8906669072102953,0.894196764794224,0.892767300862371,0.0015171428537030566,12
144.5144364039103,0.2642548265891389,0.13781658808390299,0.002544571640129433,1,5,"{'l2_leaf_reg': 1, 'depth': 5}",0.8925876179009152,0.8919790076925203,0.8934762224690688,0.8926809493541681,0.0006147878180876844,13
233.13518166542053,32.19740301947149,0.11833333969116211,0.02306952489844872,9,10,"{'l2_leaf_reg': 9, 'depth': 10}",0.8924640121028036,0.8915625259031358,0.8921521121425281,0.8920595500494891,0.00037380489371567556,14
330.644070148468,2.4026683448388906,0.15302697817484537,0.009370972216604769,5,10,"{'l2_leaf_reg': 5, 'depth': 10}",0.8910841943209921,0.8913684657054673,0.8932568244844574,0.891903161503639,0.000964194017210454,15
242.99773788452148,12.72317074086536,0.15276336669921875,0.006590066391360576,9,8,"{'l2_leaf_reg': 9, 'depth': 8}",0.8923788451886546,0.8908423577826428,0.8922812797592555,0.8918341609101842,0.0007024409043254584,16
311.6229866345723,12.060148805952434,0.1393601894378662,0.002557654262380029,1,10,"{'l2_leaf_reg': 1, 'depth': 10}",0.8894335164963761,0.8918248484818935,0.8923447661712532,0.8912010437165075,0.0012677257738056191,17
257.78230198224384,3.1407897591186247,0.13856657346089682,0.0007681344490970802,5,8,"{'l2_leaf_reg': 5, 'depth': 8}",0.8912809396446134,0.8902719605768497,0.8919949812406189,0.8911826271540274,0.0007068470184784975,18
219.28345092137656,1.3713095656335215,0.14203532536824545,0.003967300823134377,4,8,"{'l2_leaf_reg': 4, 'depth': 8}",0.8901237098187701,0.890205729814245,0.8907021670326687,0.8903438688885612,0.0002555581994609107,19
239.7054579257965,0.6901676804056679,0.13912606239318848,0.0028201897575792396,1,8,"{'l2_leaf_reg': 1, 'depth': 8}",0.8893497311065977,0.8888347123959609,0.890803371364214,0.8896626049555909,0.0008335954523862849,20
